#{"t_start": 1757246473.9678743, "env_id": "None"}
r,l,t
-93.0,18,59.253669
-93.0,18,59.316376
-88.0,18,59.378211
-93.0,18,59.417947
-93.0,18,59.451503
-93.0,18,59.485967
-93.0,18,59.520647
-93.0,18,59.554949
-93.0,18,59.58941
-93.0,18,59.624003
-93.0,18,59.658186
-88.0,18,59.692547
-93.0,18,59.727338
-96.0,18,59.761825
-96.0,18,59.796518
-93.0,18,59.831732
-93.0,18,59.86643
-96.0,18,61.154716
-93.0,18,61.189278
-93.0,18,61.222997
-93.0,18,61.263758
-93.0,18,61.325146
-93.0,18,61.386449
-93.0,18,61.448573
-93.0,18,61.510105
-93.0,18,61.571484
-93.0,18,61.63338
-93.0,18,61.695538
-93.0,18,61.757576
-93.0,18,61.819866
-93.0,18,61.881187
-93.0,18,61.943704
-93.0,18,62.005735
-93.0,18,62.068176
-93.0,18,62.130244
-93.0,18,62.19137
-93.0,18,62.252829
-100.0,18,62.314559
-96.0,18,62.376736
-93.0,18,62.439146
-93.0,18,62.501318
-93.0,18,62.563474
-93.0,18,62.625082
-93.0,18,62.686208
-93.0,18,62.748154
-88.0,18,62.810525
-88.0,18,62.872448
-93.0,18,62.934916
-88.0,18,62.996983
-100.0,18,63.059593
-93.0,18,63.120946
-93.0,18,63.18231
-93.0,18,63.244283
-88.0,18,63.306494
-93.0,18,63.36739
-93.0,18,63.433747
-93.0,18,63.497918
-96.0,18,63.55843
-93.0,18,63.619338
-93.0,18,63.681325
-93.0,18,63.742705
-96.0,18,63.804617
-96.0,18,63.86636
-100.0,18,63.928618
-93.0,18,63.990731
-93.0,18,64.051961
-93.0,18,64.113612
-93.0,18,64.175804
-93.0,18,64.237694
-93.0,18,64.299736
-93.0,18,64.361109
-93.0,18,64.422848
-93.0,18,64.485163
-93.0,18,64.547832
-93.0,18,64.608414
-93.0,18,64.670199
-93.0,18,64.732881
-93.0,18,64.795701
-93.0,18,64.856871
-93.0,18,64.919244
-93.0,18,64.979928
-93.0,18,65.041677
-93.0,18,65.102258
-88.0,18,65.164268
-93.0,18,65.225778
-93.0,18,65.286483
-96.0,18,65.348869
-93.0,18,65.410458
-93.0,18,65.472309
-93.0,18,65.534237
-93.0,18,65.595984
-93.0,18,65.658294
-93.0,18,65.720363
-93.0,18,65.782149
-96.0,18,65.843722
-93.0,18,65.905938
-93.0,18,65.968495
-93.0,18,66.030255
-93.0,18,66.092443
-93.0,18,66.154845
-93.0,18,66.217615
-93.0,18,66.279625
-93.0,18,66.340585
-93.0,18,66.40252
-93.0,18,66.464932
-93.0,18,66.526814
-93.0,18,66.589206
-93.0,18,66.650986
-93.0,18,66.713377
-93.0,18,66.775809
-93.0,18,66.837751
-93.0,18,66.89935
-93.0,18,66.962213
-93.0,18,67.024348
-96.0,18,67.085137
-93.0,18,67.14673
-93.0,18,67.208721
-88.0,18,67.271175
-93.0,18,67.333962
-93.0,18,67.394883
-93.0,18,67.456915
-93.0,18,67.519108
-93.0,18,67.581669
-93.0,18,67.643261
-93.0,18,67.704968
-100.0,18,67.7666
-93.0,18,67.828571
-93.0,18,67.888762
-93.0,18,67.950932
-93.0,18,68.013303
-88.0,18,68.075696
-93.0,18,70.192909
-93.0,18,70.253364
-93.0,18,70.316644
-93.0,18,70.377362
-93.0,18,70.439574
-93.0,18,70.500942
-93.0,18,70.56286
-93.0,18,70.626039
-93.0,18,70.688166
-93.0,18,70.750631
-93.0,18,70.81282
-96.0,18,70.874502
-96.0,18,70.937056
-93.0,18,70.998772
-93.0,18,71.05991
-93.0,18,71.121526
-93.0,18,71.183119
-96.0,18,71.245252
-93.0,18,71.307239
-93.0,18,71.368734
-93.0,18,71.431175
-93.0,18,71.491396
-93.0,18,71.553104
-93.0,18,71.615304
-93.0,18,71.677667
-93.0,18,71.739235
-93.0,18,71.800785
-93.0,18,71.861264
-96.0,18,71.923046
-93.0,18,71.985073
-93.0,18,72.047467
-93.0,18,72.109971
-96.0,18,72.170801
-93.0,18,72.232268
-93.0,18,72.2946
-93.0,18,72.355704
-93.0,18,72.417483
-93.0,18,72.478915
-93.0,18,72.541935
-93.0,18,72.603443
-88.0,18,72.664917
-93.0,18,72.726291
-93.0,18,72.788064
-93.0,18,72.848431
-93.0,18,72.910819
-93.0,18,72.972623
-93.0,18,73.034476
-93.0,18,73.096648
-93.0,18,73.158874
-93.0,18,73.220556
-93.0,18,73.28218
-93.0,18,73.343157
-93.0,18,73.405114
-93.0,18,73.467391
-93.0,18,73.528985
-93.0,18,73.590937
-93.0,18,73.653033
-93.0,18,73.714584
-88.0,18,73.77537
-93.0,18,73.837812
-93.0,18,73.899494
-93.0,18,73.961225
-93.0,18,74.023082
-93.0,18,74.085412
-93.0,18,74.148066
-93.0,18,74.210796
-93.0,18,74.272168
-93.0,18,74.333596
-93.0,18,74.395764
-93.0,18,74.458306
-93.0,18,74.519839
-93.0,18,74.581864
-93.0,18,74.643701
-93.0,18,74.705577
-93.0,18,74.767202
-93.0,18,74.829125
-93.0,18,74.890833
-93.0,18,74.953176
-93.0,18,75.014857
-93.0,18,75.077068
-93.0,18,75.139075
-93.0,18,75.200019
-93.0,18,75.261745
-93.0,18,75.322593
-96.0,18,75.383465
-93.0,18,75.445111
-93.0,18,75.507015
-93.0,18,75.568995
-96.0,18,75.631414
-93.0,18,75.692536
-93.0,18,75.754369
-93.0,18,75.816103
-93.0,18,75.878831
-93.0,18,75.941118
-100.0,18,76.002997
-93.0,18,76.064093
-93.0,18,76.125849
-93.0,18,76.187366
-93.0,18,76.248689
-93.0,18,76.309656
-93.0,18,76.372025
-96.0,18,76.432651
-93.0,18,76.494803
-93.0,18,76.557138
-93.0,18,76.617278
-93.0,18,76.678576
-96.0,18,76.740332
-93.0,18,76.801836
-93.0,18,76.862625
-100.0,18,76.924894
-93.0,18,76.987129
-93.0,18,77.047785
-93.0,18,77.108865
-93.0,18,77.170896
-93.0,18,79.269811
-93.0,18,79.330841
-93.0,18,79.393116
-93.0,18,79.454882
-93.0,18,79.514222
-93.0,18,79.574395
-93.0,18,79.636433
-93.0,18,79.697639
-93.0,18,79.759105
-93.0,18,79.819821
-93.0,18,79.881543
-93.0,18,79.942064
-93.0,18,80.003493
-93.0,18,80.064869
-93.0,18,80.124914
-93.0,18,80.187817
-96.0,18,80.248961
-96.0,18,80.310872
-93.0,18,80.371372
-88.0,18,80.431512
-93.0,18,80.493007
-93.0,18,80.554877
-96.0,18,80.615197
-93.0,18,80.677837
-93.0,18,80.73991
-100.0,18,80.801695
-93.0,18,80.8636
-93.0,18,80.925955
-93.0,18,80.98843
-93.0,18,81.05014
-93.0,18,81.113578
-93.0,18,81.175045
-93.0,18,81.236782
-93.0,18,81.298613
-93.0,18,81.360288
-96.0,18,81.421866
-93.0,18,81.48338
-93.0,18,81.544835
-93.0,18,81.606665
-93.0,18,81.668903
-93.0,18,81.730874
-93.0,18,81.79298
-93.0,18,81.85394
-93.0,18,81.916214
-93.0,18,81.978906
-96.0,18,82.041483
-93.0,18,82.103044
-96.0,18,82.164735
-93.0,18,82.226568
-93.0,18,82.288578
-93.0,18,82.350661
-93.0,18,82.411803
-93.0,18,82.474207
-93.0,18,82.536823
-93.0,18,82.596701
-93.0,18,82.658874
-93.0,18,82.721639
-93.0,18,82.783701
-93.0,18,82.844525
-93.0,18,82.906534
-93.0,18,82.96849
-93.0,18,83.029891
-93.0,18,83.091097
-93.0,18,83.153868
-93.0,18,83.21561
-96.0,18,83.27697
-93.0,18,83.338199
-93.0,18,83.399339
-93.0,18,83.46006
-93.0,18,83.522141
-100.0,18,83.582398
-100.0,18,83.644149
-93.0,18,83.705881
-93.0,18,83.767588
-93.0,18,83.828574
-96.0,18,83.890193
-93.0,18,83.950872
-93.0,18,84.014757
-93.0,18,84.075639
-93.0,18,84.136863
-93.0,18,84.198946
-93.0,18,84.261484
-93.0,18,84.321885
-93.0,18,84.384007
-93.0,18,84.445361
-93.0,18,84.509248
-93.0,18,84.573806
-93.0,18,84.634657
-93.0,18,84.6957
-93.0,18,84.756234
-93.0,18,84.818163
-93.0,18,84.880322
-93.0,18,84.940939
-93.0,18,85.002216
-88.0,18,85.064789
-93.0,18,85.1254
